id,trans
filename,scene_cp130_q1_s10
translator,BAIN
info,scene_cp130_q1_s10
42,为迎接即将到来的最后一战，姬塔一行重新振作精神。
41,虽然无法理解洛基的真实意图，但姬塔一行人还是相信洛基的情报，去追逐紫之骑士。
40,请你放心，只要对我有利，和你们敌对也可以。
39,所以我的行为就像观众为了不结束舞台而欢呼一样。
38,我只想看到姬塔前进的样子。
37,不，唔……也许是这样吧……
36,真有这么好，我为什么不打败紫之骑士，夺回劳埃德呢？
35,呵呵……这可能有点想太多了吧。
34,你是不是对我们太好了？我觉得这里面肯定有什么线索。
33,话说，我想问你一件事……
27,听了洛基的话，姬塔一行点点头，回到了格兰赛法。
26,我们的船带路。
25,岛上应该有紫薇和奈瑟萨里亚作为监视。
24,他会在那里做好准备，然后直接去奥莱·格兰德。
23,我想他们是去了纳尔·格兰德边缘的一个小岛。
22,无论如何，我们现在必须快点追上去，把罗伊德取回来！
21,我有很多话要对那个大叔说……
20,可恶……完全被骗了。
19,"我与伊提巴的将军们一起建立了网络。 "
18,"当我听说你们会和紫之骑士战斗时，我感觉似乎有点不对劲。 "
17,洛基向惊讶的姬塔一行简单说明事情的经过。
16,七曜骑士的盔甲都能拿来当诱饵，最好别以为他是什么普通人。
15,喂喂喂……这种情况下，你能想出逃跑的方法吗？一般来说。
14,虽然我以为盔甲里的东西，被幽世的存在吞噬了……
13,确实……不是不可能。
12,看到的是什么呢？不就只是盔甲而已嘛。
11,什……！但是，但是……我们确实……
10,当然，是带着封印星晶兽阿卡夏的魔像罗伊德。
9,相反，他现在正要逃出这片空域。
8,听着，紫衣骑士还活着。
7,另一方面，洛基严肃地告诉姬塔一行。
6,姬塔一行的脑海中浮现出被幽世的存在捕获的紫之骑士悲惨的身影。
5,但是……紫之骑士已经……
4,我想和你们谈谈紫之骑士的事。
3,时间不多了，到底是怎么回事？
2,出现在那里的洛基告诉姬塔他们有急事。
1,集齐了4个空图碎片\n在米卡波西的帮助下\n取回了湛蓝天空的一行人。
0-synopsis,"从洛基那里得知了令人惊讶的消息，紫之骑士还活着，并且准备带着“罗伊德”一起逃离纳鲁格兰德空域。 洛基带领紫薇和奈瑟萨里亚一行人，小心谨慎地追赶紫色骑士。  "
0-chapter_name,第一百三十章背对着它
